advertiser,advertiser_id,iso_state_province_code,total_conversions,ntb_conversions,ntb_conversion_pct,total_sales,ntb_sales,ntb_sales_pct
Marca Beta,B2,BR-PB,865,649,75.0289,88807.12,68039.14,76.6145
Marca Beta,B2,BR-PR,5054,3315,65.5916,483983.79,325177.28,67.1876
Marca Beta,B2,BR-PE,1836,1541,83.9325,190421.08,160375.23,84.2214
Marca Beta,B2,BR-PI,936,655,69.9786,101331.98,69489.43,68.576
Marca Beta,B2,BR-RJ,6759,4878,72.1704,804216.46,564017.59,70.1326
Marca Beta,B2,BR-RN,820,643,78.4146,81005.72,58811.0,72.601
Marca Beta,B2,BR-RS,5663,3579,63.1997,527983.08,321446.51,60.882
Marca Beta,B2,BR-RO,378,282,74.6032,38173.54,28753.19,75.3223
Marca Beta,B2,BR-RR,101,67,66.3366,7716.49,5154.62,66.8001
Marca Beta,B2,BR-SC,3331,2067,62.0534,324566.94,182573.58,56.2514
Marca Beta,B2,BR-SP,33591,14456,43.0353,3053662.39,1209098.58,39.595
Marca Beta,B2,BR-SE,438,250,57.0776,33840.71,17511.57,51.7471
Marca Beta,B2,BR-TO,329,242,73.5562,28034.73,20431.99,72.881
Marca Gama,C3,BR-AC,86,34,39.5349,9126.95,3553.41,38.9332
Marca Gama,C3,BR-AL,335,148,44.1791,28944.57,13118.0,45.3211
Marca Gama,C3,BR-AP,83,50,60.241,5929.73,3273.23,55.2003
Marca Gama,C3,BR-AM,501,297,59.2814,41871.04,25924.89,61.916
Marca Gama,C3,BR-BA,2084,1392,66.7946,180816.34,120417.41,66.5965
Marca Gama,C3,BR-CE,1003,599,59.7208,75911.55,44701.33,58.8861
Marca Gama,C3,BR-DF,1454,729,50.1376,181790.51,86908.95,47.8072
Marca Gama,C3,BR-ES,1066,390,36.5854,74660.4,26959.23,36.1091
Marca Gama,C3,BR-GO,1527,774,50.6876,115483.99,60577.18,52.455
Marca Gama,C3,BR-MA,776,371,47.8093,67719.46,30569.53,45.1414
Marca Gama,C3,BR-MT,845,504,59.645,71986.58,44569.33,61.9134
Marca Gama,C3,BR-MS,524,315,60.1145,42125.92,24726.73,58.6972
Marca Gama,C3,BR-MG,4387,2646,60.3146,363094.89,213291.81,58.7427
Marca Gama,C3,BR-PA,876,389,44.4064,78031.83,34450.43,44.1492
Marca Gama,C3,BR-PB,475,312,65.6842,38818.96,26167.28,67.4085
Marca Gama,C3,BR-PR,2187,899,41.1065,199678.76,85462.12,42.7998
Marca Gama,C3,BR-PE,1310,644,49.1603,104572.59,47473.18,45.3973
Marca Gama,C3,BR-PI,523,314,60.0382,42743.5,24990.55,58.4663
Marca Gama,C3,BR-RJ,5104,2747,53.8205,552647.19,272982.99,49.3955
Marca Gama,C3,BR-RN,472,272,57.6271,38717.02,21263.48,54.9202
Marca Gama,C3,BR-RS,2365,1094,46.2579,215675.47,95253.29,44.1651
Marca Gama,C3,BR-RO,224,93,41.5179,20973.61,8198.67,39.0904
Marca Gama,C3,BR-RR,76,52,68.4211,8106.38,5513.25,68.0113
Marca Gama,C3,BR-SC,1577,714,45.2758,159490.38,71260.71,44.6803
Marca Gama,C3,BR-SP,21357,9986,46.7575,2340360.41,1134595.8,48.4795
Marca Gama,C3,BR-SE,254,172,67.7165,21761.36,13774.59,63.2984
Marca Gama,C3,BR-TO,164,69,42.0732,16924.95,7400.44,43.725
Marca Beta,B9,BR-AC,40,20,50.0,4319.03,2159.51,49.9999
Marca Beta,B9,BR-AL,251,125,49.8008,18911.03,9455.51,50.0
Marca Beta,B9,BR-AP,52,26,50.0,5360.28,2680.14,50.0
Marca Beta,B9,BR-BA,1227,613,49.9593,127812.24,63906.12,50.0
Marca Beta,B9,BR-CE,583,291,49.9142,57871.65,28935.83,50.0
Marca Beta,B9,BR-ES,594,297,50.0,56505.21,28252.6,50.0
Marca Beta,B9,BR-GO,581,290,49.9139,47030.84,23515.42,50.0
Marca Beta,B9,BR-MA,414,207,50.0,42087.83,21043.92,50.0
Marca Beta,B9,BR-MT,390,195,50.0,39210.6,19605.3,50.0
Marca Beta,B9,BR-MS,232,116,50.0,20791.87,10395.93,50.0
Marca Beta,B9,BR-PA,383,191,49.8695,35226.65,17613.33,50.0
Marca Beta,B9,BR-PR,1516,758,50.0,145195.14,72597.57,50.0
Marca Beta,B9,BR-PE,550,275,50.0,57126.32,28563.16,50.0
Marca Beta,B9,BR-PI,280,140,50.0,30399.59,15199.8,50.0
Marca Beta,B9,BR-RJ,2027,1013,49.9753,241264.94,120632.47,50.0
Marca Beta,B9,BR-RS,1698,849,50.0,158394.92,79197.46,50.0
Marca Beta,B9,BR-RR,30,15,50.0,2314.95,1157.47,49.9998
Marca Beta,B9,BR-SP,10077,5038,49.995,916098.72,458049.36,50.0
Marca Beta,B9,BR-SE,131,65,49.6183,10152.21,5076.1,50.0
Marca Beta,B9,BR-TO,98,49,50.0,8410.42,4205.21,50.0
Marca Alpha,A1,MX-AGU,518,227,43.8224,282591.82,124255.62,43.97
Marca Alpha,A1,MX-BCN,1563,741,47.4088,674971.3,320192.44,47.4379
Marca Alpha,A1,MX-BCS,148,60,40.5405,74442.45,30604.67,41.1119
Marca Alpha,A1,MX-CAM,123,46,37.3984,46833.89,17873.23,38.163
Marca Alpha,A1,MX-CHP,917,435,47.4373,363703.79,172622.99,47.4625
Marca Alpha,A1,MX-CHH,1099,339,30.8462,478995.62,148159.95,30.9314
Marca Alpha,A1,MX-COA,1573,774,49.2053,876609.4,431737.75,49.2509
Marca Alpha,A1,MX-COL,123,45,36.5854,47745.75,17778.82,37.2364
Marca Alpha,A1,MX-DUR,288,146,50.6944,117444.77,59830.14,50.9432
Marca Alpha,A1,MX-GUA,1789,858,47.9598,746290.53,358109.06,47.9852
Marca Alpha,A1,MX-GRO,432,172,39.8148,260369.22,104066.47,39.9688
Marca Alpha,A1,MX-HID,500,203,40.6,231150.57,93993.87,40.6635
Marca Alpha,A1,MX-JAL,3322,1629,49.0367,1291970.62,633704.91,49.0495
Marca Alpha,A1,MX-CMX,6505,2249,34.5734,3690040.9,1276324.95,34.5884
Marca Alpha,A1,MX-MEX,8382,3906,46.5999,4983533.18,2322597.26,46.6054
Marca Alpha,A1,MX-MIC,865,398,46.0116,449266.96,206908.38,46.0547
Marca Alpha,A1,MX-MOR,240,115,47.9167,118636.34,57176.07,48.1944
Marca Alpha,A1,MX-NAY,159,78,49.0566,95648.07,47370.96,49.5263
Marca Alpha,A1,MX-NLE,3446,1375,39.9013,1611532.0,643469.83,39.9291
Marca Alpha,A1,MX-OAX,606,233,38.4488,374969.93,144382.37,38.5051
Marca Alpha,A1,MX-PUE,1320,604,45.7576,531145.57,243254.24,45.798
Marca Alpha,A1,MX-QUE,1611,657,40.7821,803957.6,328126.22,40.8139
Marca Alpha,A1,MX-ROO,301,105,34.8837,168428.24,58755.73,34.8847
Marca Alpha,A1,MX-SLP,473,206,43.5518,242912.4,106147.13,43.6977
Marca Alpha,A1,MX-SIN,385,144,37.4026,162016.49,61016.32,37.6606
Marca Alpha,A1,MX-SON,1294,558,43.1221,599364.26,258560.98,43.1392
Marca Alpha,A1,MX-TAB,334,105,31.4371,135198.38,42512.0,31.4442
Marca Alpha,A1,MX-TAM,660,252,38.1818,373879.74,142998.77,38.2473
Marca Alpha,A1,MX-TLA,234,116,49.5726,126878.64,63149.21,49.7713
Marca Alpha,A1,MX-VER,1619,838,51.7603,773369.62,400299.3,51.7604
Marca Alpha,A1,MX-YUC,1140,563,49.386,594765.94,293991.21,49.4297
Marca Alpha,A1,MX-ZAC,254,90,35.4331,119414.15,42318.67,35.4386
Marca Gama,C3,MX-AGU,318,125,39.3082,133226.17,52500.06,39.4067
Marca Gama,C3,MX-BCN,749,380,50.7343,423739.25,215205.54,50.7873
Marca Gama,C3,MX-BCS,60,26,43.3333,23551.3,10502.55,44.5944
Marca Gama,C3,MX-CAM,51,21,41.1765,24515.31,10343.58,42.1923
Marca Gama,C3,MX-CHP,259,161,62.1622,119435.2,74320.34,62.2265
Marca Gama,C3,MX-CHH,675,342,50.6667,377327.33,191198.41,50.6718
Marca Gama,C3,MX-COA,412,214,51.9417,251373.81,130600.67,51.9548
Marca Gama,C3,MX-COL,52,22,42.3077,20113.18,8715.55,43.3325
Marca Gama,C3,MX-DUR,138,85,61.5942,78777.63,48637.27,61.74
Marca Gama,C3,MX-GUA,824,440,53.3981,397382.07,212525.24,53.4813
Marca Gama,C3,MX-GRO,269,140,52.0446,122103.01,63730.7,52.1942
Marca Gama,C3,MX-HID,168,63,37.5,94816.07,35822.86,37.7814
Marca Gama,C3,MX-JAL,1818,693,38.1188,1107078.13,422308.99,38.1463
Marca Gama,C3,MX-CMX,3268,1990,60.8935,1746831.41,1064191.65,60.9213
Marca Gama,C3,MX-MEX,2749,1337,48.6359,1214308.14,590811.59,48.6542
Marca Gama,C3,MX-MIC,381,156,40.9449,227588.69,93703.47,41.1723
Marca Gama,C3,MX-MOR,94,35,37.234,37839.26,14453.17,38.1962
Marca Gama,C3,MX-NAY,75,46,61.3333,31034.87,19040.43,61.3517
Marca Gama,C3,MX-NLE,1593,833,52.2913,653714.2,341978.24,52.3131
Marca Gama,C3,MX-OAX,232,101,43.5345,115658.5,50356.81,43.5392
Marca Gama,C3,MX-PUE,589,282,47.8778,249822.2,119639.34,47.8898
Marca Gama,C3,MX-QUE,560,217,38.75,286724.84,111163.19,38.77
Marca Gama,C3,MX-ROO,131,77,58.7786,77254.44,45419.31,58.7918
Marca Gama,C3,MX-SLP,208,104,50.0,79430.52,39919.15,50.2567
Marca Gama,C3,MX-SIN,140,59,42.1429,78867.72,33377.35,42.3207
Marca Gama,C3,MX-SON,464,262,56.4655,204483.61,115860.74,56.6602
Marca Gama,C3,MX-TAB,134,64,47.7612,52267.86,25189.95,48.194
Marca Gama,C3,MX-TAM,196,89,45.4082,116851.49,53299.75,45.6132
Marca Gama,C3,MX-TLA,84,53,63.0952,42994.54,27334.2,63.576
Marca Gama,C3,MX-VER,385,198,51.4286,201848.99,103903.47,51.4758
Marca Gama,C3,MX-YUC,407,187,45.9459,249127.43,114671.67,46.0293
Marca Gama,C3,MX-ZAC,114,60,52.6316,57705.52,30536.96,52.9186
