amc_template_name,start_date,end_date,path,path_occurrences,impressions,total_cost,users_that_purchased,sales_amount,purchases,user_purchase_rate,ntb_users_that_purchased,ntb_sales_amount,ntb_purchases,ntb_user_percentage,ntb_purchases_percentage,insight1,insight2
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Conversão]]",76,721,7.50656862783927,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SB], [3, DSP Conversão], [4, DSP Awareness], [5, DSP NTB]]",75,4992,62.54613995356026,2,351.5379,2,0.0267,1,190.9159,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, DSP Conversão], [4, DSP Awareness]]",73,4208,62.88895258158375,1,111.0929,1,0.0137,1,63.3443,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB], [3, DSP Awareness]]",71,3015,54.070487103054965,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP NTB]]",70,2003,37.01868156101591,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SB], [3, SD], [4, DSP Awareness]]",70,5472,48.51745474005414,1,165.1853,1,0.0143,1,113.6909,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP NTB], [3, DSP Conversão], [4, SP]]",70,2508,47.60341553246473,1,173.7477,1,0.0143,0,77.6738,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SD], [4, SB], [5, DSP NTB], [6, DSP Consideração], [7, SP]]",70,6172,67.14177478763544,3,585.6991,3,0.0429,2,385.5270,2,0.6667,0.6667,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP NTB], [3, DSP Conversão], [4, SB]]",69,4334,52.64499830052447,1,95.4772,1,0.0145,1,66.6414,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Conversão], [3, SB]]",68,1873,19.950987669358796,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, SB], [4, DSP Awareness]]",67,4168,31.082060351468225,1,136.1719,1,0.0149,1,98.1545,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SB], [3, DSP Awareness], [4, DSP NTB], [5, DSP Conversão], [6, SD], [7, SB SOV]]",67,7028,87.12351244907184,3,570.5719,4,0.0448,2,318.2507,2,0.6667,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP NTB], [4, SP], [5, DSP Conversão]]",64,4827,87.04569481468316,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, SB], [4, DSP NTB]]",63,3238,30.978956045762416,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SB], [3, DSP Awareness], [4, DSP NTB], [5, SP]]",63,3159,29.214738016666953,1,98.9826,1,0.0159,1,62.4594,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SB], [3, DSP Conversão], [4, SD], [5, DSP NTB], [6, DSP Awareness]]",63,5004,37.0876413475814,2,310.3425,2,0.0317,1,187.8657,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB], [3, DSP NTB]]",63,1650,21.026206746329763,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB], [3, SP], [4, SD], [5, DSP Awareness]]",62,4517,48.88422524636899,2,360.6427,2,0.0323,1,206.0570,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB], [3, DSP NTB], [4, SP], [5, DSP Consideração]]",61,5886,75.3209090104635,1,101.9509,1,0.0164,1,67.7759,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, DSP Awareness], [4, SB], [5, SP]]",61,6057,26.89251953662813,1,210.5376,1,0.0164,1,128.1698,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, SP]]",60,654,10.956033099935345,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SD]]",60,2311,38.581124667025435,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Consideração]]",60,1353,5.6264454821057965,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, SD]]",59,2636,43.09039221318996,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Consideração], [3, DSP Conversão], [4, DSP NTB], [5, SD], [6, DSP Awareness], [7, SB]]",59,3292,43.800462498467866,1,141.9083,1,0.0169,1,87.9765,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness]]",58,2185,39.49925920694345,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Consideração], [3, SB]]",58,1412,14.336852332460005,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, SP], [3, DSP Conversão]]",56,2779,24.474256933367784,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, SB]]",56,964,6.0533965740158795,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB], [3, DSP Conversão], [4, DSP NTB], [5, DSP Awareness]]",56,4121,63.47418265916014,1,193.3740,1,0.0179,1,129.8419,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, SB], [4, DSP NTB], [5, DSP Conversão], [6, DSP Awareness]]",56,5478,71.64449964209582,1,151.2410,1,0.0179,1,88.1194,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP NTB], [3, DSP Conversão], [4, SB], [5, SP], [6, SD]]",52,1676,22.45122606526656,1,207.4928,1,0.0192,1,107.1916,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB SOV], [3, DSP NTB], [4, DSP Awareness], [5, SP], [6, SB], [7, SD]]",50,2381,43.30081652425105,1,210.0704,1,0.02,1,132.4782,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Conversão], [3, SB SOV], [4, SB], [5, SP], [6, DSP Awareness], [7, SD]]",50,6602,42.754153554634556,2,406.9523,2,0.04,1,207.5464,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, SD]]",50,2743,49.16219434267696,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SD], [3, DSP Conversão], [4, SB]]",49,2826,40.75368059113283,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SD], [3, DSP NTB], [4, SP]]",49,2220,39.7675883556521,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Conversão], [3, DSP NTB]]",48,2370,42.43118935252659,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB], [3, SB SOV], [4, DSP Conversão], [5, SB], [6, DSP Consideração], [7, DSP Awareness]]",48,5717,74.84269084079796,1,118.7636,1,0.0208,1,61.8508,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, SD]]",48,1665,20.2368204082591,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Conversão]]",46,763,9.938726969655367,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SP], [4, SD], [5, SB], [6, SB SOV], [7, DSP NTB]]",46,1936,10.332018351226301,2,221.1685,2,0.0435,1,101.9410,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SD], [3, DSP NTB]]",45,2369,17.37550834860548,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB]]",45,449,6.877150865570234,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Conversão], [3, DSP Consideração], [4, SP], [5, DSP Awareness], [6, SB], [7, SD], [8, SB SOV]]",45,6197,59.64999390263903,2,228.3008,2,0.0444,1,136.8132,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB SOV]]",45,923,3.877174452786565,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB], [3, SB], [4, SP], [5, DSP Consideração], [6, DSP Awareness], [7, SD]]",45,2679,14.011026439749259,2,402.1182,2,0.0444,1,249.4970,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP NTB], [3, DSP Conversão]]",44,2062,15.425572185298604,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, DSP NTB], [4, SB]]",44,1507,7.370855097969165,1,189.0669,1,0.0227,1,107.9079,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, DSP NTB]]",44,641,12.154950226635316,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Consideração], [3, SD], [4, SP]]",44,2742,19.812412680016006,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB], [3, SB], [4, DSP Awareness]]",43,1267,16.181494187536906,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, SD], [4, DSP Conversão], [5, SP], [6, DSP NTB], [7, DSP Consideração]]",43,3899,42.97692670697038,1,210.5055,1,0.0233,0,101.1704,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP NTB], [3, SP], [4, SB], [5, DSP Awareness], [6, DSP Consideração], [7, DSP Conversão]]",42,1375,18.664199620455946,1,130.5346,1,0.0238,0,62.3970,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP NTB]]",42,1859,18.649633849432657,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, DSP Conversão]]",42,2492,18.15198020743078,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, SP]]",42,1245,13.833514314911435,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, DSP Conversão], [4, DSP Consideração], [5, SB], [6, DSP NTB], [7, DSP Awareness], [8, SB SOV]]",42,4140,62.68245880018634,1,208.7754,1,0.0238,1,116.7362,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP Conversão]]",42,1232,20.086985029703694,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, SP], [3, SD]]",41,2460,41.846923973806014,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB], [3, SB SOV], [4, DSP Awareness]]",41,2988,20.825142520765414,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Consideração], [3, DSP NTB]]",41,2482,28.6141604260118,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB SOV], [2, DSP Consideração]]",41,833,6.432430154569093,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Awareness], [3, SP], [4, DSP NTB], [5, SB], [6, DSP Conversão], [7, SD]]",40,3381,65.23958683231695,1,151.1868,1,0.025,1,90.4723,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB]]",39,897,15.113365422147744,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP NTB], [3, SP]]",39,1973,26.852224938142808,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SB]]",39,538,9.204303640612133,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB SOV], [2, SB], [3, DSP Conversão]]",39,1092,19.82100287447268,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, SB], [4, DSP Conversão]]",38,1104,21.862568640375116,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, SB]]",38,898,5.422872348222419,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Conversão]]",38,890,6.028480681748175,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, SB]]",38,2140,18.122189066519173,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, DSP NTB], [4, DSP Awareness], [5, DSP Consideração], [6, SP]]",38,4379,21.813501689584196,0,0.0000,0,0.0,0,0.0000,0,,,,
